product_id,product_name,category,score
P1007,White Dress,shoes,0.6818798065185547
P1075,Navy Jacket,shoes,0.6516306877136231
P1034,Blue Jacket,shoes,0.6124842166900635
P1065,Yellow Jacket,shoes,0.5987613677978516
P1006,Gray Pants,suit,0.5980260848999024
P1078,White Accessories,shoes,0.5928080558776856
P1004,Gray Dress,shoes,0.5885724544525146
P1072,Navy Dress,jacket,0.5866549491882325
P1000,Green Shoes,jacket,0.5861285209655762
P1073,Gray Shoes,accessories,0.5715383529663086
P1097,Blue Jacket,jacket,0.5699545383453369
P1066,Navy Jacket,accessories,0.5664024353027344
P1055,Red Shoes,suit,0.5625843048095703
P1084,Yellow Shoes,dress,0.5618817329406738
P1005,Black Shoes,suit,0.5575250148773193
P1011,Blue Shirt,shoes,0.553551721572876
P1028,Orange Skirt,jacket,0.5443714141845704
P1095,Blue Suit,shoes,0.5380156517028809
P1024,Blue Shirt,jacket,0.5369040489196777
P1023,White Jacket,accessories,0.5318705558776855
