product_id,product_name,category,score
P1014,Green Dress,accessories,0.653721809387207
P1053,Red Accessories,dress,0.6396999359130859
P1054,Orange Jacket,accessories,0.5759050369262695
P1085,Gray Dress,accessories,0.5662236213684082
P1032,Yellow Dress,pants,0.5370660781860351
P1049,White Accessories,accessories,0.5328051567077636
P1033,Navy Suit,jacket,0.5136491775512695
P1087,Red Suit,jacket,0.4997846603393554
P1061,White Dress,accessories,0.49153695106506345
P1040,Yellow Dress,pants,0.48878726959228513
P1050,Red Accessories,dress,0.48809833526611324
P1062,Blue Shirt,accessories,0.48798093795776365
P1030,White Dress,skirt,0.4869448184967041
P1057,Black Accessories,skirt,0.4729225158691406
P1080,Black Dress,dress,0.47002696990966797
P1098,Yellow Accessories,jacket,0.4696981906890869
P1052,Red Jacket,shoes,0.46337084770202636
P1088,Orange Skirt,dress,0.46087808609008785
P1026,Red Dress,pants,0.45941963195800783
P1028,Orange Skirt,jacket,0.4541689872741699
