product_id,product_name,category,score
P1071,Navy Jacket,suit,0.6327006340026855
P1037,Navy Accessories,jacket,0.6296684265136718
P1089,Navy Jacket,pants,0.6250316143035889
P1038,White Pants,shirt,0.6204136371612549
P1072,Navy Dress,jacket,0.6038977622985839
P1063,Orange Shirt,suit,0.6030850410461426
P1099,Red Suit,suit,0.5932405471801758
P1001,Black Suit,pants,0.588864803314209
P1019,Black Jacket,suit,0.5780299186706543
P1021,Black Suit,accessories,0.5765681743621827
P1010,Navy Skirt,shirt,0.5764010429382325
P1041,Green Suit,skirt,0.575718879699707
P1066,Navy Jacket,accessories,0.5734869956970214
P1027,Orange Pants,suit,0.5640000820159912
P1024,Blue Shirt,jacket,0.5631843566894531
P1016,Gray Shirt,suit,0.560545825958252
P1096,Navy Suit,skirt,0.5537869453430175
P1029,Yellow Suit,pants,0.5529850482940674
P1034,Blue Jacket,shoes,0.5509041786193848
P1079,Red Dress,jacket,0.5473430156707764
